ID	Remark	Probability	ItemID	NumMin	NumMax	TimeLimit
掉落ID	掉落名称	掉落概率	物品ID	最小值	最大值	时限类型
int	string	int	int	int	int	int
	策划备注用	10000=100%\n当所填值为10000时，则必然掉落，不参与掉落ID的总随机；\n在剩余的非10000中，按排序从上往下判断，抽取出一条物品后，即终止判断，会存在抽取不到物品的情况，即表示无掉落。	物品ID，到Item表中读取具体物品	抽取到的物品数量在最小值和最大值之间随机	抽取到的物品数量在最小值和最大值之间随机	填写该道具的时限类型\n引用 TimeLimit 表中的ID\n
2	0	2	2	2	2	3
320001	掉落测试	10000	40001	10	20	1
320002	掉落测试	10000	40002	10	20	1
320003	掉落测试	10000	40003	1	1	1
320004	掉落测试	10000	1110111	1	1	1
320005	掉落测试	10000	1120111	1	1	1
320006	掉落测试	10000	1130111	1	1	1
320007	掉落测试	10000	1140111	1	1	1
320008	掉落测试	10000	1150111	1	1	1
320009	掉落测试	10000	1160111	1	1	1
320010	掉落测试	10000	1170111	1	1	1
320011	掉落测试	10000	1180111	1	1	1
320012	掉落测试	10000	71011	1	1	1
320013	掉落测试	10000	71021	1	1	1
320014	掉落测试	10000	71031	1	1	1
320015	掉落测试	10000	72011	1	1	1
320016	掉落测试	10000	72051	1	1	1
320101	经验产出（1-9级世界地图怪物）	10000	5	60	100	1
320102	经验产出（10-19级世界地图怪物）	10000	5	14	18	1
320103	经验产出（20-29级世界地图怪物）	10000	5	22	26	1
320104	经验产出（30-39级世界地图怪物）	10000	5	34	38	1
320105	经验产出（40-49级世界地图怪物）	10000	5	46	50	1
320106	经验产出（50-59级世界地图怪物）	10000	5	58	62	1
320107	经验产出（60-69级世界地图怪物）	10000	5	70	74	1
320108	经验产出（70-79级世界地图怪物）	10000	5	86	90	1
320109	经验产出（80-89级世界地图怪物）	10000	5	102	106	1
320110	经验产出（90-100级世界地图怪物）	10000	5	118	122	1
320201	异兽录抽取	3333	1	1	1	1
320202	异兽录抽取	6666	20	1	1	1
320203	异兽录抽取	10000	40	1	1	1
320204	异兽录抽取	3333	1	1	1	1
320205	异兽录抽取	6666	20	1	1	1
320206	异兽录抽取	10000	40	1	1	1
320207	异兽录抽取	3333	1	1	1	1
320208	异兽录抽取	6666	20	1	1	1
320209	异兽录抽取	10000	40	1	1	1
320210	异兽录抽取	3333	1	1	1	1
320211	异兽录抽取	6666	20	1	1	1
320212	异兽录抽取	10000	40	1	1	1
320213	异兽录抽取	3333	1	1	1	1
320214	异兽录抽取	6666	20	1	1	1
320215	异兽录抽取	10000	40	1	1	1
320216	异兽录抽取	3333	1	1	1	1
320217	异兽录抽取	6666	20	1	1	1
320218	异兽录抽取	10000	40	1	1	1
320219	异兽录抽取	3333	1	1	1	1
320220	异兽录抽取	6666	20	1	1	1
320221	异兽录抽取	10000	40	1	1	1
320222	异兽录抽取	3333	1	1	1	1
320223	异兽录抽取	6666	20	1	1	1
320224	异兽录抽取	10000	40	1	1	1
320225	异兽录抽取	3333	1	1	1	1
320226	异兽录抽取	6666	20	1	1	1
320227	异兽录抽取	10000	40	1	1	1
320228	异兽录抽取	3333	1	1	1	1
320229	异兽录抽取	6666	20	1	1	1
320230	异兽录抽取	10000	40	1	1	1
320231	异兽录抽取	3333	1	1	1	1
320232	异兽录抽取	6666	20	1	1	1
320233	异兽录抽取	10000	40	1	1	1
320234	异兽录抽取	3333	1	1	1	1
320235	异兽录抽取	6666	20	1	1	1
320236	异兽录抽取	10000	40	1	1	1
320237	异兽录抽取	3333	1	1	1	1
320238	异兽录抽取	6666	20	1	1	1
320239	异兽录抽取	10000	40	1	1	1
320240	异兽录抽取	3333	1	1	1	1
320241	异兽录抽取	6666	20	1	1	1
320242	异兽录抽取	10000	40	1	1	1
320601	银币产出（1-9级世界地图怪物）	10000	4	3	5	1
320602	银币产出（10-19级世界地图怪物）	10000	4	7	9	1
320603	银币产出（20-29级世界地图怪物）	10000	4	11	13	1
320604	银币产出（30-39级世界地图怪物）	10000	4	17	19	1
320605	银币产出（40-49级世界地图怪物）	10000	4	23	25	1
320606	银币产出（50-59级世界地图怪物）	10000	4	29	31	1
320607	银币产出（60-69级世界地图怪物）	10000	4	35	37	1
320608	银币产出（70-79级世界地图怪物）	10000	4	43	45	1
320609	银币产出（80-89级世界地图怪物）	10000	4	51	53	1
320610	银币产出（90-100级世界地图怪物）	10000	4	59	61	1
321101	1级白色战士掉落装备	1250	1110111	1	1	1
