ID	ItemId	Count	Job	Sex	Weight	TimeLimit
礼包ID	物品ID	数量	职业	性别	物品获得权重	时限类型
int	int	int	int	int	int	int
礼包ID和道具ID一致，当道具表中配置的类型为礼包时，根据道具ID在这个表中索引礼包的使用效果	产出的物品的ID	具体数量	配置了职业后，只有这个职业使用该礼包会获得道具（如这个礼包会开出每个职业的武器一把，此时分职业功能就用到了）\n0、不限定职业（即每个职业都一样）\n1、战士\n2、法师\n3、射手	配置了性别后，只有这个性别开该礼包会获得该道具，其他性别开启不会获得\n0、不限性别\n1、男\n2、女	10000=百分百获得（可同时获得多个物品）\n\n随机获得：\n随机获得的物品权重加起来=10000，系统自动随一个	填写该道具的时限类型\n引用 TimeLimit 表中的ID\n
3	3	3	3	3	3	3
1	70001	1	0	0	10000	0
2	70002	1	1	1	10000	0
3	70003	1	1	2	10000	0
4	70004	1	2	1	10000	0
5	70005	1	2	2	10000	0
6	71011	1	3	1	10000	0
7	71012	1	3	2	10000	0
10	40101	2	0	0	20	0
11	40102	2	0	0	20	0
12	40103	2	0	0	20	0
13	40104	2	0	0	20	0
14	40105	2	0	0	20	0
15	40106	2	0	0	2000	0
16	40107	2	0	0	2000	0
17	40108	2	0	0	2000	0
18	40109	2	0	0	2000	0
19	40110	2	0	0	1900	0
20	30003	1	0	0	10000	0
21	70001	1	0	0	5000	0
22	70002	1	0	0	5000	0
30	40001	1	0	0	10000	0
31	40002	1	0	0	10000	0
32	40003	1	0	0	10000	0
33	40004	1	0	0	10000	0
34	40005	1	0	0	10000	0
35	40006	1	0	0	10000	0
36	40007	1	0	0	10000	0
37	40008	1	0	0	10000	0
38	40009	1	0	0	10000	0
